     52.18 	1 	OFFICIAL
     52.08 	1 	OFFICIAL
     51.83 	1 	OFFICIAL
     51.90 	1 	OFFICIAL
     51.81 	1 	OFFICIAL
     52.01 	1 	OFFICIAL
     51.99 	1 	OFFICIAL
     51.91 	1 	OFFICIAL
     52.00 	1 	OFFICIAL
     52.08 	1 	OFFICIAL
     51.85 	1 	OFFICIAL
     52.08 	1 	OFFICIAL
     51.91 	1 	OFFICIAL
     52.45 	1 	OFFICIAL
     52.15 	1 	OFFICIAL
     51.84 	1 	OFFICIAL
     52.11 	1 	OFFICIAL
     51.67 	1 	OFFICIAL
     51.92 	1 	OFFICIAL
     51.90 	1 	OFFICIAL
     52.26 	1 	OFFICIAL
     52.25 	1 	OFFICIAL
     51.95 	1 	OFFICIAL
     52.10 	1 	OFFICIAL
     52.22 	1 	OFFICIAL
     52.05 	1 	OFFICIAL
     51.85 	1 	OFFICIAL
     52.07 	1 	OFFICIAL
     51.97 	1 	OFFICIAL
     34.51 	2 	OFFICIAL
     34.23 	2 	OFFICIAL
     34.27 	2 	OFFICIAL
     34.04 	2 	OFFICIAL
     34.25 	2 	OFFICIAL
     34.16 	2 	OFFICIAL
     34.19 	2 	OFFICIAL
     34.16 	2 	OFFICIAL
     34.29 	2 	OFFICIAL
     34.07 	2 	OFFICIAL
     34.10 	2 	OFFICIAL
     34.10 	2 	OFFICIAL
     34.25 	2 	OFFICIAL
     34.16 	2 	OFFICIAL
     34.15 	2 	OFFICIAL
     34.18 	2 	OFFICIAL
     34.15 	2 	OFFICIAL
     34.40 	2 	OFFICIAL
     34.33 	2 	OFFICIAL
     34.18 	2 	OFFICIAL
     34.20 	2 	OFFICIAL
     34.13 	2 	OFFICIAL
     34.15 	2 	OFFICIAL
     34.14 	2 	OFFICIAL
     34.32 	2 	OFFICIAL
     34.30 	2 	OFFICIAL
     34.02 	2 	OFFICIAL
     34.19 	2 	OFFICIAL
     34.09 	2 	OFFICIAL
     34.16 	2 	OFFICIAL
     24.89 	3 	OFFICIAL
     24.73 	3 	OFFICIAL
     24.86 	3 	OFFICIAL
     24.74 	3 	OFFICIAL
     24.77 	3 	OFFICIAL
     24.81 	3 	OFFICIAL
     24.76 	3 	OFFICIAL
     24.69 	3 	OFFICIAL
     24.79 	3 	OFFICIAL
     24.76 	3 	OFFICIAL
     24.87 	3 	OFFICIAL
     24.91 	3 	OFFICIAL
     24.77 	3 	OFFICIAL
     24.86 	3 	OFFICIAL
     24.78 	3 	OFFICIAL
     24.72 	3 	OFFICIAL
     24.76 	3 	OFFICIAL
     25.06 	3 	OFFICIAL
     24.88 	3 	OFFICIAL
     24.83 	3 	OFFICIAL
     24.83 	3 	OFFICIAL
     24.85 	3 	OFFICIAL
     24.87 	3 	OFFICIAL
     24.81 	3 	OFFICIAL
     24.77 	3 	OFFICIAL
     24.88 	3 	OFFICIAL
     24.81 	3 	OFFICIAL
     24.85 	3 	OFFICIAL
     24.93 	3 	OFFICIAL
     24.76 	3 	OFFICIAL
     20.06 	4 	OFFICIAL
     20.19 	4 	OFFICIAL
     20.11 	4 	OFFICIAL
     20.08 	4 	OFFICIAL
     20.14 	4 	OFFICIAL
     20.13 	4 	OFFICIAL
     20.24 	4 	OFFICIAL
     20.16 	4 	OFFICIAL
     20.10 	4 	OFFICIAL
     20.20 	4 	OFFICIAL
     20.26 	4 	OFFICIAL
     20.09 	4 	OFFICIAL
     20.16 	4 	OFFICIAL
     20.14 	4 	OFFICIAL
